ISO 코드,국제전화 국가번호,일반 명칭,한국어,영어,일본어
CA,+1,캐나다,캐나다,Canada,カナダ
US,+1,미국,미합중국,United States of America,アメリカ合衆国
PR,+1 787,푸에르토리코,푸에르토리코 자유 연합주,Puerto Rico,プエルトリコ自治連邦区
TT,+1 787,트리니다드 토바고,트리니다드 토바고 공화국,Republic of Trinidad and Tobago,トリニダード・トバゴ共和国
DO,+1 809,도미니카 공화국,도미니카 공화국,Dominican Republic,ドミニカ共和国
EG,+20,이집트,이집트 아랍 공화국,Arab Republic of Egypt,エジプト・アラブ共和国
ZA,+27,남아프리카 공화국,남아프리카 공화국,Republic of South Africa,南アフリカ共和国
GR,+30,그리스,그리스 공화국,Hellenic Republic,ギリシャ共和国
NL,+31,네덜란드,네덜란드,Netherlands,オランダ
BE,+32,벨기에,벨기에 왕국,Kingdom of Belgium,ベルギー王国
FR,+33,프랑스,프랑스 공화국,French Republic,フランス共和国
ES,+34,스페인,스페인 왕국,Kingdom of Spain,スペイン王国
PT,+351,포르투갈,포르투갈 공화국,Portuguese Republic,ポルトガル共和国
LU,+352,룩셈부르크,룩셈부르크 대공국,Grand Duchy of Luxembourg,ルクセンブルク大公国
IE,+353,아일랜드,아일랜드,Ireland,アイルランド
IS,+354,아이슬란드,아이슬란드,Iceland,アイスランド
CY,+357,키프로스,키프로스 공화국,Republic of Cyprus,キプロス共和国
FI,+358,핀란드,핀란드 공화국,Republic of Finland,フィンランド共和国
BG,+359,불가리아,불가리아 공화국,Republic of Bulgaria,ブルガリア共和国
HU,+36,헝가리,헝가리,Hungary,ハンガリー
LT,+370,리투아니아,리투아니아 공화국,Republic of Lithuania,リトアニア共和国
LV,+371,라트비아,라트비아 공화국,Republic of Latvia,ラトビア共和国
EE,+372,에스토니아,에스토니아 공화국,Republic of Estonia,エストニア共和国
UA,+380,우크라이나,우크라이나,Ukraine,ウクライナ
RS,+381,세르비아,세르비아 공화국,Republic of Serbia,セルビア共和国
HR,+385,크로아티아,크로아티아 공화국,Republic of Croatia,クロアチア共和国
SI,+386,슬로베니아,슬로베니아 공화국,Republic of Slovenia,スロベニア共和国
IT,+39,이탈리아,이탈리아 공화국,Italian Republic,イタリア共和国
RO,+40,루마니아,루마니아,Romania,ルーマニア
CH,+41,스위스,스위스 연방,Swiss Confederation,スイス連邦
CZ,+420,체코,체코 공화국,Czech Republic,チェコ共和国
SK,+421,슬로바키아,슬로바키아 공화국,Slovak Republic,スロバキア共和国
AT,+43,오스트리아,오스트리아 공화국,Republic of Austria,オーストリア共和国
GB,+44,영국,그레이트브리튼 및 북아일랜드 연합왕국,United Kingdom of Great Britain and Northern Ireland,グレートブリテン及び北アイルランド連合王国
DK,+45,덴마크,덴마크 왕국,Denmark,デンマーク
SE,+46,스웨덴,스웨덴 왕국,Kingdom of Sweden,スウェーデン王国
NO,+47,노르웨이,노르웨이 왕국,Kingdom of Norway,ノルウェー王国
PL,+48,폴란드,폴란드 공화국,Republic of Poland,ポーランド共和国
DE,+49,독일,독일연방공화국,Federal Republic of Germany,ドイツ連邦共和国
PA,+507,파나마,파나마 공화국,Republic of Panama,パナマ共和国
MX,+52,멕시코,멕시코 합중국,United Mexican States,メキシコ合衆国
AR,+54,아르헨티나,아르헨티나 공화국,Argentine Republic,アルゼンチン共和国
BR,+55,브라질,브라질 연방공화국,Federative Republic of Brazil,ブラジル連邦共和国
CL,+56,칠레,칠레 공화국,Republic of Chile,チリ共和国
CO,+57,콜롬비아,콜롬비아 공화국,Republic of Colombia,コロンビア共和国
UY,+598,우루과이,우루과이 동방공화국,Oriental Republic of Uruguay,ウルグアイ東方共和国
MY,+60,말레이시아,말레이시아,Malaysia,マレーシア
AU,+61,오스트레일리아,오스트레일리아 연합,Commonwealth of Australia,オーストラリア連邦
ID,+62,인도네시아,인도네시아 공화국,Republic of Indonesia,インドネシア共和国
PH,+63,필리핀,필리핀 공화국,Republic of the Philippines,フィリピン共和国
NZ,+64,뉴질랜드,뉴질랜드,New Zealand,ニュージーランド
SG,+65,싱가포르,싱가포르 공화국,Republic of Singapore,シンガポール共和国
TH,+66,태국,타이 왕국,Kingdom of Thailand,タイ王国
JP,+81,일본,일본국,Japan,日本国
KR,+82,대한민국,대한민국,Republic of Korea,大韓民国
VN,+84,베트남,베트남 사회주의 공화국,Socialist Republic of Vietnam,ベトナム社会主義共和国
HK,+852,홍콩,중화인민공화국 홍콩 특별행정구,Hong Kong,中華人民共和国香港特別行政区
TW,+886,중화민국,중화민국,Republic of China,中華民国
TR,+90,튀르키예,튀르키예 공화국,Republic of Türkiye,トルコ共和国
IN,+91,인도,인도 공화국,Republic of India,インド
KW,+965,쿠웨이트,쿠웨이트국,State of Kuwait,クウェート国
SA,+966,사우디아라비아,사우디아라비아 왕국,Kingdom of Saudi Arabia,サウジアラビア王国
AE,+971,아랍에미리트,아랍에미리트 연합국,United Arab Emirates,アラブ首長国連邦
IL,+972,이스라엘,이스라엘국,State of Israel,イスラエル国
BH,+973,바레인,바레인 왕국,Kingdom of Bahrain,バーレーン王国
QA,+974,카타르,카타르국,State of Qatar,カタール国
AZ,+994,아제르바이잔,아제르바이잔 공화국,Republic of Azerbaijan,アゼルバイジャン共和国
GE,+995,조지아,조지아,Georgia,ジョージア